Nome,Data,Potência Ativa
Navegantes,"17/12/2025, 10:00:00",62101.4006
Navegantes,"17/12/2025, 11:00:00",72048.55138
Navegantes,"17/12/2025, 12:00:00",57578.43182
Navegantes,"17/12/2025, 13:00:00",66247.52862
Navegantes,"17/12/2025, 14:00:00",54018.8266
Navegantes,"17/12/2025, 15:00:00",49833.10365
Navegantes,"17/12/2025, 16:00:00",61366.66811
Navegantes,"17/12/2025, 17:00:00",55864.72967
Navegantes,"17/12/2025, 18:00:00",51046.14346
Navegantes,"17/12/2025, 19:00:00",72439.22076
Navegantes,"17/12/2025, 20:00:00",69744.94119
Navegantes,"17/12/2025, 21:00:00",59780.00143
Navegantes,"17/12/2025, 22:00:00",52702.75453
Navegantes,"17/12/2025, 23:00:00",45423.56712
Navegantes,"18/12/2025, 0:00:00",21472.88225
Navegantes,"18/12/2025, 1:00:00",12847.17169
Navegantes,"18/12/2025, 2:00:00",11600.80735
Navegantes,"18/12/2025, 3:00:00",12002.66669
Navegantes,"18/12/2025, 4:00:00",11570.58701
Navegantes,"18/12/2025, 5:00:00",11505.36512
Navegantes,"18/12/2025, 6:00:00",11087.12719
Navegantes,"18/12/2025, 7:00:00",9956.345844
Navegantes,"18/12/2025, 8:00:00",18567.61132
Navegantes,"18/12/2025, 9:00:00",35063.83135
Navegantes,"18/12/2025, 10:00:00",63803.99882
Navegantes,"18/12/2025, 11:00:00",68193.32779
Navegantes,"18/12/2025, 12:00:00",67116.95225
Navegantes,"18/12/2025, 13:00:00",69738.52728
Navegantes,"18/12/2025, 14:00:00",67923.99284
Navegantes,"18/12/2025, 15:00:00",61135.75837
Navegantes,"18/12/2025, 16:00:00",53178.74419
Navegantes,"18/12/2025, 17:00:00",56329.62112
Navegantes,"18/12/2025, 18:00:00",61376.0845
Navegantes,"18/12/2025, 19:00:00",71360.61463
Navegantes,"18/12/2025, 20:00:00",75969.35624
Navegantes,"18/12/2025, 21:00:00",67553.26473
Navegantes,"18/12/2025, 22:00:00",60533.77213
Navegantes,"18/12/2025, 23:00:00",51754.50051
Navegantes,"19/12/2025, 0:00:00",18399.65434
Navegantes,"19/12/2025, 1:00:00",12849.69478
Navegantes,"19/12/2025, 2:00:00",12623.55603
Navegantes,"19/12/2025, 3:00:00",12264.87995
Navegantes,"19/12/2025, 4:00:00",11230.74136
Navegantes,"19/12/2025, 5:00:00",11141.41843
Navegantes,"19/12/2025, 6:00:00",10817.89385
Navegantes,"19/12/2025, 7:00:00",10456.34097
Navegantes,"19/12/2025, 8:00:00",18520.39024
Navegantes,"19/12/2025, 9:00:00",36684.84415
Navegantes,"19/12/2025, 10:00:00",54365.23647
Navegantes,"19/12/2025, 11:00:00",65376.63542
Navegantes,"19/12/2025, 12:00:00",66857.63594
Navegantes,"19/12/2025, 13:00:00",67518.0434
Navegantes,"19/12/2025, 14:00:00",65717.93857
Navegantes,"19/12/2025, 15:00:00",63254.95563
Navegantes,"19/12/2025, 16:00:00",53947.86102
Navegantes,"19/12/2025, 17:00:00",52654.82833
Navegantes,"19/12/2025, 18:00:00",64563.3883
Navegantes,"19/12/2025, 19:00:00",80091.92694
Navegantes,"19/12/2025, 20:00:00",72244.09165
Navegantes,"19/12/2025, 21:00:00",68839.04671
Navegantes,"19/12/2025, 22:00:00",64431.01392
Navegantes,"19/12/2025, 23:00:00",57982.31188
Navegantes,"20/12/2025, 0:00:00",19008.54712
Navegantes,"20/12/2025, 1:00:00",13796.22354
Navegantes,"20/12/2025, 2:00:00",12568.13451
Navegantes,"20/12/2025, 3:00:00",11804.27788
Navegantes,"20/12/2025, 4:00:00",11632.48635
Navegantes,"20/12/2025, 5:00:00",11156.32827
Navegantes,"20/12/2025, 6:00:00",11636.24581
Navegantes,"20/12/2025, 7:00:00",10730.54831
Navegantes,"20/12/2025, 8:00:00",16040.98882
Navegantes,"20/12/2025, 9:00:00",27067.18372
Navegantes,"20/12/2025, 10:00:00",49652.27048
Navegantes,"20/12/2025, 11:00:00",70149.32564
Navegantes,"20/12/2025, 12:00:00",71296.26154
